id,file,title,author,license,license_url,source_url,width,height
G001,G001.jpg,Eyeglasses (AM 71518-7).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/3/37/Eyeglasses_%28AM_71518-7%29.jpg,8688,5792
G002,G002.jpg,Eyeglasses (AM 71104-13).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/8/8b/Eyeglasses_%28AM_71104-13%29.jpg,8688,5792
G003,G003.jpg,Eyeglasses (AM 71104-19).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/d/d9/Eyeglasses_%28AM_71104-19%29.jpg,8688,5792
G004,G004.jpg,Eyeglasses (AM 71104-17).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c5/Eyeglasses_%28AM_71104-17%29.jpg,8688,5792
G005,G005.jpg,Eyeglasses (AM 71518-3).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/0/00/Eyeglasses_%28AM_71518-3%29.jpg,2352,1860
G006,G006.jpg,Eyeglasses (AM 71104-8).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/f/fe/Eyeglasses_%28AM_71104-8%29.jpg,2244,1092
G007,G007.jpg,Eyeglasses (AM 1948.112-8).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/d/dc/Eyeglasses_%28AM_1948.112-8%29.jpg,2592,1944
G008,G008.jpg,Eyeglasses (AM 71518-6).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/7/75/Eyeglasses_%28AM_71518-6%29.jpg,8688,5792
G009,G009.jpg,Eyeglasses (AM 71518-5).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c5/Eyeglasses_%28AM_71518-5%29.jpg,8688,5792
G010,G010.jpg,Eyeglasses (AM 71104-3).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/d/dc/Eyeglasses_%28AM_71104-3%29.jpg,1794,1620
G011,G011.jpg,Eyeglasses (AM 71518-8).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a8/Eyeglasses_%28AM_71518-8%29.jpg,8688,5792
G012,G012.jpg,Eyeglasses (AM 71104-12).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/9/9e/Eyeglasses_%28AM_71104-12%29.jpg,8688,5792
G013,G013.jpg,Eyeglasses (AM 71104-9).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/5/52/Eyeglasses_%28AM_71104-9%29.jpg,2448,2340
G014,G014.jpg,Eyeglasses (AM 71518-2).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/f/fb/Eyeglasses_%28AM_71518-2%29.jpg,1860,1698
G015,G015.jpg,Eyeglasses (AM 71104-4).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/a/af/Eyeglasses_%28AM_71104-4%29.jpg,1710,2042
G016,G016.jpg,Eyeglasses (AM 71104-10).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/3/32/Eyeglasses_%28AM_71104-10%29.jpg,2394,1428
G017,G017.jpg,Eyeglasses (AM 71104-18).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a3/Eyeglasses_%28AM_71104-18%29.jpg,8688,5792
G018,G018.jpg,Eyeglasses (AM 71518-4).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/3/37/Eyeglasses_%28AM_71518-4%29.jpg,8688,5792
G019,G019.jpg,Eyeglasses (AM 1948.112-4).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/1/15/Eyeglasses_%28AM_1948.112-4%29.jpg,2592,1944
G020,G020.jpg,Eyeglasses (AM 71104-16).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/8/86/Eyeglasses_%28AM_71104-16%29.jpg,8688,5792
G021,G021.jpg,Eyeglasses (AM 1948.112-2).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eyeglasses_%28AM_1948.112-2%29.jpg,2592,1944
G022,G022.jpg,Eyeglasses (AM 71104-14).jpg,"API data
Catalogue record

Photo",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/4/4e/Eyeglasses_%28AM_71104-14%29.jpg,8688,5792
